Date,Rate/night
2024-05-01,
2024-05-02,
2024-05-03,611.25
2024-05-04,611.25
2024-05-05,611.25
2024-05-06,611.25
2024-05-07,611.25
2024-05-08,611.25
2024-05-09,611.25
2024-05-10,611.25
2024-05-11,611.25
2024-05-12,611.25
2024-05-13,611.25
2024-05-14,611.25
2024-05-15,611.25
2024-05-16,611.25
2024-05-17,611.25
2024-05-18,611.25
2024-05-19,611.25
2024-05-20,611.25
2024-05-21,611.25
2024-05-22,
2024-05-23,
2024-05-24,
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,
2024-05-29,611.25
2024-05-30,611.25
