Date,Rate/night
2024-07-20,433.75
2024-07-21,416.5
2024-07-22,425.75
2024-07-23,455.0
2024-07-24,485.5
2024-07-25,493.0
2024-07-26,504.25
2024-07-27,483.0
2024-07-28,459.75
2024-07-29,453.5
2024-07-30,466.25
2024-07-31,487.75
2024-08-01,488.75
2024-08-02,479.0
2024-08-03,447.5
2024-08-04,421.75
2024-08-05,418.0
2024-08-06,447.0
2024-08-07,467.5
2024-08-08,468.25
2024-08-09,478.25
2024-08-10,460.25
2024-08-11,441.0
2024-08-12,459.0
2024-08-13,500.5
2024-08-14,542.0
2024-08-15,540.75
2024-08-16,526.25
2024-08-17,469.25
2024-08-18,415.0
