Date,Rate/night
2024-09-05,
2024-09-06,
2024-09-07,
2024-09-08,
2024-09-09,
2024-09-10,
2024-09-11,
2024-09-12,
2024-09-13,
2024-09-14,
2024-09-15,301.5
2024-09-16,298.5
2024-09-17,307.5
2024-09-18,307.5
2024-09-19,303.0
2024-09-20,300.5
2024-09-21,295.75
2024-09-22,288.0
2024-09-23,289.75
2024-09-24,302.5
2024-09-25,308.5
2024-09-26,305.0
2024-09-27,303.25
2024-09-28,294.0
2024-09-29,286.25
2024-09-30,296.75
2024-10-01,313.25
2024-10-02,331.5
