Date,Rate/night
2024-09-05,432.75
2024-09-06,432.75
2024-09-07,432.75
2024-09-08,432.75
2024-09-09,432.75
2024-09-10,432.75
2024-09-11,432.75
2024-09-12,432.75
2024-09-13,432.75
2024-09-14,432.75
2024-09-15,432.75
2024-09-16,432.75
2024-09-17,432.75
2024-09-18,432.75
2024-09-19,432.75
2024-09-20,432.75
2024-09-21,432.75
2024-09-22,432.75
2024-09-23,432.75
2024-09-24,432.75
2024-09-25,432.75
2024-09-26,432.75
2024-09-27,432.75
2024-09-28,432.75
2024-09-29,432.75
2024-09-30,432.75
2024-10-01,432.75
2024-10-02,432.75
