Date,Rate/night
2024-07-01,403.3333333333333
2024-07-02,403.3333333333333
2024-07-03,403.3333333333333
2024-07-04,403.3333333333333
2024-07-05,403.3333333333333
2024-07-06,403.3333333333333
2024-07-07,403.3333333333333
2024-07-08,403.3333333333333
2024-07-09,403.3333333333333
2024-07-10,403.3333333333333
2024-07-11,403.3333333333333
2024-07-12,403.3333333333333
2024-07-13,403.3333333333333
2024-07-14,
2024-07-15,
2024-07-16,
2024-07-17,
2024-07-18,
2024-07-19,
2024-07-20,
2024-07-21,403.3333333333333
2024-07-22,403.3333333333333
2024-07-23,403.3333333333333
2024-07-24,403.3333333333333
2024-07-25,403.3333333333333
2024-07-26,403.3333333333333
2024-07-27,403.3333333333333
2024-07-28,403.3333333333333
2024-07-29,403.3333333333333
2024-07-30,403.3333333333333
2024-07-31,403.3333333333333
