Date,Rate/night
2024-09-05,169.0
2024-09-06,186.5
2024-09-07,198.75
2024-09-08,210.5
2024-09-09,228.0
2024-09-10,255.75
2024-09-11,284.5
2024-09-12,302.0
2024-09-13,319.5
2024-09-14,335.5
2024-09-15,346.5
2024-09-16,364.0
2024-09-17,391.75
2024-09-18,406.25
2024-09-19,406.25
2024-09-20,406.25
2024-09-21,391.75
2024-09-22,377.25
2024-09-23,377.25
2024-09-24,391.75
2024-09-25,406.25
2024-09-26,406.25
2024-09-27,406.25
2024-09-28,391.75
2024-09-29,377.25
2024-09-30,377.25
2024-10-01,391.75
2024-10-02,406.25
