Date,Rate/night
2024-05-01,
2024-05-02,
2024-05-03,
2024-05-04,
2024-05-05,317.25
2024-05-06,352.25
2024-05-07,432.25
2024-05-08,
2024-05-09,
2024-05-10,
2024-05-11,
2024-05-12,
2024-05-13,
2024-05-14,395.75
2024-05-15,452.75
2024-05-16,476.0
2024-05-17,465.75
2024-05-18,441.0
2024-05-19,429.25
2024-05-20,439.5
2024-05-21,479.0
2024-05-22,518.25
2024-05-23,521.25
2024-05-24,490.5
2024-05-25,461.25
2024-05-26,429.25
2024-05-27,426.5
2024-05-28,477.5
2024-05-29,534.0
2024-05-30,547.25
