Date,Rate/night
2024-05-01,
2024-05-02,
2024-05-03,
2024-05-04,
2024-05-05,
2024-05-06,
2024-05-07,
2024-05-08,350.75
2024-05-09,350.75
2024-05-10,350.75
2024-05-11,342.0
2024-05-12,333.25
2024-05-13,333.25
2024-05-14,343.5
2024-05-15,353.75
2024-05-16,358.25
2024-05-17,362.5
2024-05-18,352.25
2024-05-19,342.0
2024-05-20,337.75
2024-05-21,
2024-05-22,
2024-05-23,
2024-05-24,
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,
2024-05-29,
2024-05-30,
2024-05-31,361.0
