Date,Rate/night
2024-07-01,454.0
2024-07-02,454.0
2024-07-03,454.0
2024-07-04,454.0
2024-07-05,454.0
2024-07-06,454.0
2024-07-07,454.0
2024-07-08,454.0
2024-07-09,454.0
2024-07-10,454.0
2024-07-11,454.0
2024-07-12,454.0
2024-07-13,454.0
2024-07-14,454.0
2024-07-15,454.0
2024-07-16,454.0
2024-07-17,454.0
2024-07-18,454.0
2024-07-19,454.0
2024-07-20,454.0
2024-07-21,454.0
2024-07-22,454.0
2024-07-23,454.0
2024-07-24,454.0
2024-07-25,454.0
2024-07-26,454.0
2024-07-27,454.0
2024-07-28,454.0
2024-07-29,454.0
2024-07-30,454.0
2024-07-31,454.0
