Date,Rate/night
2024-07-20,576.0
2024-07-21,577.75
2024-07-22,590.0
2024-07-23,601.25
2024-07-24,612.5
2024-07-25,614.0
2024-07-26,614.0
2024-07-27,611.75
2024-07-28,611.75
2024-07-29,609.25
2024-07-30,609.25
2024-07-31,611.25
2024-08-01,611.25
2024-08-02,
2024-08-03,
2024-08-04,
2024-08-05,
2024-08-06,
2024-08-07,
2024-08-08,
2024-08-09,
2024-08-10,
2024-08-11,
2024-08-12,
2024-08-13,
2024-08-14,
2024-08-15,
2024-08-16,
2024-08-17,
2024-08-18,
