Date,Rate/night
2024-05-01,350.75
2024-05-02,350.75
2024-05-03,350.75
2024-05-04,350.75
2024-05-05,350.75
2024-05-06,350.75
2024-05-07,350.75
2024-05-08,350.75
2024-05-09,350.75
2024-05-10,350.75
2024-05-11,350.75
2024-05-12,350.75
2024-05-13,350.75
2024-05-14,350.75
2024-05-15,350.75
2024-05-16,350.75
2024-05-17,350.75
2024-05-18,350.75
2024-05-19,350.75
2024-05-20,350.75
2024-05-21,350.75
2024-05-22,350.75
2024-05-23,350.75
2024-05-24,350.75
2024-05-25,350.75
2024-05-26,350.75
2024-05-27,350.75
2024-05-28,350.75
2024-05-29,350.75
2024-05-30,350.75
2024-05-31,350.75
