Date,Rate/night
2024-06-01,
2024-06-02,
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,
2024-06-08,
2024-06-09,
2024-06-10,
2024-06-11,462.75
2024-06-12,484.25
2024-06-13,469.0
2024-06-14,463.5
2024-06-15,448.0
2024-06-16,440.75
2024-06-17,476.0
2024-06-18,534.75
2024-06-19,570.5
2024-06-20,573.25
2024-06-21,551.5
2024-06-22,518.25
2024-06-23,495.5
2024-06-24,497.25
2024-06-25,536.5
2024-06-26,573.5
2024-06-27,574.25
2024-06-28,613.0
2024-06-29,617.75
2024-06-30,600.75
