Date,Rate/night
2024-09-05,379.0
2024-09-06,379.0
2024-09-07,379.0
2024-09-08,342.75
2024-09-09,342.75
2024-09-10,342.75
2024-09-11,342.75
2024-09-12,342.75
2024-09-13,342.75
2024-09-14,342.75
2024-09-15,342.75
2024-09-16,342.75
2024-09-17,342.75
2024-09-18,342.75
2024-09-19,342.75
2024-09-20,342.75
2024-09-21,342.75
2024-09-22,342.75
2024-09-23,342.75
2024-09-24,342.75
2024-09-25,342.75
2024-09-26,342.75
2024-09-27,342.75
2024-09-28,342.75
2024-09-29,342.75
2024-09-30,342.75
2024-10-01,342.75
2024-10-02,342.75
